title,category,severity,tag,why,action,,,cat,,tag
Pipework with open end connected to gas supply,Gas pipework,ID,GAS SAFETY,,,,,,,
Fitting not appropriate to gas used ,Gas pipework,ID,GAS SAFETY,,,,,,,
Fitting appropriate for gas used in inorrect position,Gas pipework,AR,GAS SAFETY,,,,,,,
Pipework showing signs of damage/distress,Gas pipework,AR,GAS SAFETY,,,,,,,
Gas pipework located in unventilated duct/void,Gas pipework,AR,GAS SAFETY,,,,,,,
Built over PE pipework,Gas pipework,AR,GAS SAFETY,,,,,,,
Gas pipe not sleeved/sealed through wall,Gas pipework,NCS,PIPEWORK,,,,,,,
Electrics too close to gas supply,Electrical / isolation,NCS,ELECTRICAL,,,,,,,
Boiler cable inadequately clipped,Electrical / isolation,NCS,ELECTRICAL,,,,,,,
Incorrect fuse rating in spur,Electrical / isolation,NCS,ELECTRICAL,,,,,,,
Boiler spur not located by boiler,Electrical / isolation,NCS,ELECTRICAL,,,,,,,
No boiler spur fitted,Electrical / isolation,NCS,ELECTRICAL,,,,,,,
Inadequately supported pipework,Gas pipework,NCS,PIPEWORK,,,,,,,
PRV termination not to specifications,Gas pipework,NCS,MANUFACTURER MI,,,,,,,
Cooker point not fixed to wall,Cooker,NCS,COOKER,,,,,,,
Cooker hose not to BS14800,Cooker,NCS,COOKER,,,,,,,
Cooker with no FFD fitted in MOD,Cooker,NCS,COOKER,,,,,,,
Combustable material located in gas fire opening no sign of distress,Safety,NCS,GAS SAFETY,,,,,,,
Flue fitted below 2m with no flue guard fitted,Flue,NCS,FLUE TERMINATION,,,,,,,
Gas appliance with painted case with no signs of distress/strong smells,Safety,NCS,GAS SAFETY,,,,,,,
Gas appliance with painted case with signs of distress/strong smells,Safety,AR,GAS SAFETY,,,,,,,
Vegetation around boiler flue not currently blocking,Flue,NCS,FLUE TERMINATION,,,,,,,
Vegetation around boiler flue currently blocking effecting combustion,Flue,AR,FLUE TERMINATION,,,,,,,
RS flue located in position it could cause nuisance,Flue,NCS,FLUE TERMINATION,,,,,,,
Meter installed in multiple occupancy dwelling/meter bank not identified to property,Gas Meter,NCS,GAS METER,,,,,,,
Meter bank with no ventilation,Gas Meter,AR,GAS METER,,,,,,,
Lead on meter outlet in poor condition,Gas pipework,NCS,PIPEWORK,,,,,,,
Meter not fitted in a suitable position ,Gas Meter,NCS,GAS METER,,,,,,,
"Two pliable connectors to the meter, meter and pipework secured",Gas Meter,NCS,GAS METER,,,,,,,
Appliance with no gas isolation valve,Gas pipework,NCS,PIPEWORK,,,,,,,
Undersized gas pipework - Correct combustion/consumption/appliance safe operation,Gas pipework,NCS,GAS SAFETY,,,,,,,
No test point at AECV,ECV/AECV,NCS,ECV/AECV,,,,,,,
AECV located not stated at meter,ECV/AECV,NCS,ECV/AECV,,,,,,,
Appliance incorporating air/gas ratio valve with CO/CO2 ratio between 0.004 and 0.008,Safety,AR,GAS SAFETY,,,,,,,
Appliance not serviced to Manufacturer's Specifications,Workmanship,Advisory,WORKMANSHIP ,,,,,,,
Appliance not reassembled correctly not effecting safe operation,Workmanship,Advisory,WORKMANSHIP ,,,,,,,
Smoke/heat alarm missing/expired,Workmanship,Advisory,WORKMANSHIP ,,,,,,,
Invalid certificate (Auditor reissued),Workmanship,Advisory,WORKMANSHIP ,,,,,,,
